 your mom 
 1.0000000 0.0000000 0.9750000 0.0040500
 0.9500000 0.0083600
 0.9250000 0.0126500
 0.9000000 0.0167900
 0.8750000 0.0209400
 0.8500000 0.0250000
 0.8250000 0.0290200
 0.8000000 0.0329700
 0.7500000 0.0404300
 0.7000000 0.0472200
 0.6500000 0.0532000
 0.6000000 0.0583600
 0.5500000 0.0625300
 0.5000000 0.0656500
 0.4500000 0.0677000
 0.4000000 0.0687500
 0.3750000 0.0689100
 0.3500000 0.0688100
 0.3250000 0.0684100
 0.3000000 0.0676800
 0.2750000 0.0666400
 0.2500000 0.0653100
 0.2250000 0.0636900
 0.2000000 0.0616600
 0.1750000 0.0591500
 0.1500000 0.0560400
 0.1250000 0.0522400
 0.1000000 0.0475100
 0.0750000 0.0415800
 0.0500000 0.0338200
 0.0375000 0.0289500
 0.0250000 0.0229600
 0.0187500 0.0193900
 0.0125000 0.0151300
 0.0087500 0.0121300
 0.0050000 0.0085400
 0.0025000 0.0054600
 0.0000000 0.0000000
 
